test_family,varying_factor,level_a,level_b,conditioning_factor,conditioning_level,fixed_model,fixed_prompt,fixed_parser,n_a,n_b,successes_a,successes_b,failures_a,failures_b,recall_a,recall_b,recall_a_pct,recall_b_pct,difference,difference_percentage_points,odds_ratio,chi_square,degrees_of_freedom,minimum_expected_count,test_used,p_value,p_holm,p_fdr_bh
between_obfuscation_clean,obfuscation_clean,no,yes,none,all,Llama,guided,P2,80,80,62,68,18,12,0.775,0.85,77.5,85.0,-0.07499999999999996,-7.499999999999996,1.6451612903225807,1.476923076923077,1.0,15.0,Pearson chi-square,0.22425655667185565,0.4485131133437113,0.24464351636929707
between_dataset_clean_within_year_num,dataset_clean,nazario,spam_archive,year_num,2025,Llama,label,P2,34,46,26,24,8,22,0.7647058823529411,0.5217391304347826,76.47058823529412,52.17391304347826,0.24296675191815853,24.296675191815854,0.3356643356643357,4.924126172208013,1.0,12.75,Pearson chi-square,0.02648419265091921,0.4502312750656266,0.07945257795275763
between_obfuscation_clean_within_year_num,obfuscation_clean,no,yes,year_num,2023,Qwen,label,P2,40,40,13,23,27,17,0.325,0.575,32.5,57.49999999999999,-0.24999999999999994,-24.999999999999993,2.8099547511312215,5.05050505050505,1.0,18.0,Pearson chi-square,0.024618761380815174,0.4677564662354883,0.07703600947922083
between_obfuscation_clean_within_year_num,obfuscation_clean,no,yes,year_num,2025,Qwen,label,P1,40,40,15,25,25,15,0.375,0.625,37.5,62.5,-0.25,-25.0,2.7777777777777777,5.0,1.0,20.0,Pearson chi-square,0.025347318677468325,0.4677564662354883,0.07703600947922083
between_obfuscation_clean_within_year_num,obfuscation_clean,no,yes,year_num,2023,Llama,guided,P2,40,40,32,39,8,1,0.8,0.975,80.0,97.5,-0.17499999999999993,-17.499999999999993,9.75,6.134585289514867,1.0,4.5,Fisher exact,0.02888850355470781,0.49110456043003275,0.07703600947922083
between_obfuscation_clean_within_year_num,obfuscation_clean,no,yes,year_num,2023,Qwen,evidence,P1,40,40,32,39,8,1,0.8,0.975,80.0,97.5,-0.17499999999999993,-17.499999999999993,9.75,6.134585289514867,1.0,4.5,Fisher exact,0.02888850355470781,0.49110456043003275,0.07703600947922083
between_obfuscation_clean_within_dataset_clean,obfuscation_clean,no,yes,dataset_clean,nazario,Qwen,guided,P1,34,34,22,30,12,4,0.6470588235294118,0.8823529411764706,64.70588235294117,88.23529411764706,-0.23529411764705876,-23.529411764705877,4.090909090909091,5.23076923076923,1.0,8.0,Pearson chi-square,0.02219071637015818,0.5325771928837963,0.18651473312593944
between_dataset_clean_within_year_num,dataset_clean,nazario,spam_archive,year_num,2025,Llama,evidence,P2,34,46,34,40,0,6,1.0,0.8695652173913043,100.0,86.95652173913044,0.13043478260869568,13.043478260869568,0.0,4.794359576968272,1.0,2.55,Fisher exact,0.035646309054037234,0.5703409448645957,0.09505682414409929
between_year_num_within_obfuscation_clean,year_num,2023,2025,obfuscation_clean,yes,Qwen,evidence,P2,40,40,30,21,10,19,0.75,0.525,75.0,52.5,0.22499999999999998,22.499999999999996,0.3684210526315789,4.381338742393509,1.0,14.5,Pearson chi-square,0.03633444871225409,0.5813511793960654,0.09689186323267757
between_year_num_within_obfuscation_clean,year_num,2023,2025,obfuscation_clean,yes,Qwen,guided,P1,40,40,36,29,4,11,0.9,0.725,90.0,72.5,0.17500000000000004,17.500000000000004,0.29292929292929293,4.02051282051282,1.0,7.5,Pearson chi-square,0.044950043775533646,0.6742506566330047,0.10788010506128075
